title,building1,building2,price,bedroom,bathroom,area
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
"Studio for rent, no agency fee. Dubai Marina",Dubai Marina,Marina First,45000,1 Bedrooms,1 Bathrooms,410,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/studio-for-rent-no-agency-fee-dubai-marina-2/
Spacious Modern Living in a 1 Bedroom apartment in Dubai Marina,Dubai Marina,DEC Towers,50000,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/spacious-modern-living-in-a-1-bedroom-apar-2/
Exclusive to Rare Homes - Chiller free 1 Bedroom in DEC tower,Dubai Marina,DEC Towers,50000,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/27/exclusive-to-rare-homes-chiller-free-1-bed-2/
"1 Bedroom Chiller Free, 950 Sq FT, Only 50K",Dubai Marina,Marina Pinnacle,50000,1 Bedrooms,2 Bathrooms,950,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/1-bedroom-chiller-free-950-sq-ft-only-50k-2/
MModern-design 1 Bedroom available in DEC Tower - Dubai Marina,Dubai Marina,DEC Towers,50000,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/mmodern-design-1-bedroom-available-in-dec--2/
Luxury Furnished 1BR At The Beach,Dubai Marina,,50000,1 Bedrooms,1 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/luxury-furnished-1br-at-the-beach-2/
"Furnished Studio For Rent With Burj Khalifa View In Burj Al Nujoom Tower,Downtown",Dubai Marina,Burj Al Nujoom,50000,1 Bedrooms,1 Bathrooms,495,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/1-bed-room-study-for-rent-with-burj-khalif-2/
Great Deal | Well Maintained |Best Price,Dubai Marina,Manchester Tower,50000,1 Bedrooms,1 Bathrooms,550,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/23/great-deal-well-maintained-best-price-2/
1 Bedroom apartment near metro chiller Free for Rent,Dubai Marina,Manchester Tower,50000,1 Bedrooms,1 Bathrooms,517,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/8/marina-view-1-bedroom-chiller-free-for-ren-2/
VACANT 1 Bedrooms for Rent in DEC Tower,Dubai Marina,DEC Towers,50000,1 Bedrooms,1 Bathrooms,692,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/7/15/vacant-1-bedrooms-for-rent-in-dec-tower-2-2/
Hot Deal -1 Bedroom Sheikh Zayed road View - Chiller Free,Dubai Marina,Manchester Tower,50000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/5/29/hot-deal-1-month-rent-free-period-1-bedroo-2/
"Pay 4 cheques!!! Dubai Marina,Manchester Tower, 1B/R  Balcony,Marina View, for rent -MIO",Dubai Marina,Manchester Tower,50000,1 Bedrooms,1 Bathrooms,721,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/3/13/pay-4-cheques-dubai-marina-manchester-towe-2/
Iconic Living in a 1 Bedroom apartment in Dubai Marina,Dubai Marina,DEC Towers,50001,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/iconic-living-in-a-1-bedroom-apartment-in--2/
1 Bedrrom I Remarkable Value I Unbeatable Location I DEC Tower,Dubai Marina,DEC Towers,50001,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/1-bedrrom-i-remarkable-value-i-unbeatable--2/
"HOT DEAL! 1 BHK WITH BALCONY IN DUBAI MARINA (NEAR METRO, TRAM STATIONS)",Dubai Marina,,54000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/hot-deal-1-bhk-with-balcony-in-dubai-marin-2/
Furnished 1 B/R Rent In Diamond 2 Marina,Dubai Marina,Marina Diamond 2,54000,1 Bedrooms,1 Bathrooms,571,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/11/furnished-01-br-rent-in-diamond-2-marina-2/
Stop Looking.,Dubai Marina,Marina Crown,55000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/stop-looking-2/
"Furnished 1 Bhk Apt For Rent In Marina Diamond,Dubai Marina",Dubai Marina,Marina Diamond 2,55000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/furnished-1-bhk-apt-for-rent-in-marina-dia-2/
"Reduced Price,Chiller Free,Fully Furnished",Dubai Marina,Manchester Tower,55000,1 Bedrooms,1 Bathrooms,517,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/reduced-price-chiller-free-fully-furnished-2/
