title,building1,building2,price,bedroom,bathroom,area
"1 B/R APT AT ICON TOWER , COMMUNITY VIEW",JLT Jumeirah Lake Towers,Icon Tower 2,55000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-br-apt-at-icon-tower-community-view-2/
Low Floor Large 1 Bed I Cluster N,JLT Jumeirah Lake Towers,Lake Point,59999,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/low-floor-large-1-bed-i-cluster-n-2/
Chiller free/ High floor/ Balcony,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/25/spacious-1-br-apartment-on-high-floor-equi-2/
V3|1bed|Unfurnished|Meadows view|lower floor,JLT Jumeirah Lake Towers,V3 Tower,73000,1 Bedrooms,2 Bathrooms,807,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/v3-1bed-unfurnished-meadows-view-lower-flo-2/
1BR Duplex apt for rent in X1|High floor,JLT Jumeirah Lake Towers,Jumeirah Bay 1,75000,1 Bedrooms,2 Bathrooms,971,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/1br-duplex-apt-for-rent-in-x1-high-floor-2/
1 Bed (BRAND NEW) 550sqft (Dubai Gate 2 - JLT) @40k,JLT Jumeirah Lake Towers,Dubai Gate 2,40000,1 Bedrooms,1 Bathrooms,550,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/studio-brand-new-450sqft-dubai-gate-2-jlt--2/
JLT  1 BHK  42K ONLY  GOOD PRICE NOW BOOK APT,JLT Jumeirah Lake Towers,Lake Point,42000,1 Bedrooms,2 Bathrooms,950,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/1bhk-jlt-42k-only-950-sqft-call-now-2/
"Clean  Spacious 1 Bedroom Apartment for rent  in Mag214, JLT",JLT Jumeirah Lake Towers,Lake View,42000,1 Bedrooms,2 Bathrooms,450,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/8/cleanspacious-1-bedroom-apartment-for-rent-2/
Spacious Studio | 5min To Metro | Brand New Building | Good Amenities,JLT Jumeirah Lake Towers,Dubai Gate 2,44000,1 Bedrooms,1 Bathrooms,603,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/11/spacious-studio-5min-to-metro-brand-new-bu-2/
"Dubai Arch Tower, Studio, 500 sq ft, Lake  view, Vacant",JLT Jumeirah Lake Towers,Dubai Arch,45000,1 Bedrooms,1 Bathrooms,500,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/15/dubai-arch-tower-1-br-1-12-bath-850-sq-ft--2/
Lowest Price 1 Bedroom+Hall in Dubai Gate 2 JLT,JLT Jumeirah Lake Towers,,45000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/13/lowest-price-1-bhk-in-jlt-2/
1 Bedroom Apartment | 600 sqft  | JLT,JLT Jumeirah Lake Towers,Dubai Gate 2,45000,1 Bedrooms,1 Bathrooms,451,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/1-bedroom-apartment-600-sqft-jlt-2/
"Brand New 1 Bed Dubai Gate 2, JLT",JLT Jumeirah Lake Towers,Dubai Gate 2,45000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/brand-new-1-bed-dubai-gate-2-jlt-2/
STUDIO FOR RENT IN JLT DUBAI GATE 1,JLT Jumeirah Lake Towers,Dubai Gate 1,45000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/8/studio-for-rent-in-jlt-dubai-gate-1-2/
"CLOSE TO METRO 1 BHK IN JLT DUBAI GATE 1@ 50,000/ 4 CHEQUES",JLT Jumeirah Lake Towers,Dubai Gate 1,45000,1 Bedrooms,1 Bathrooms,650,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/5/8/close-to-metro-1-bhk-in-jlt-dubai-gate-1-5-2/
1  Bedroom for Rent in JLT DubaiGate1 near Metro @ 46k,JLT Jumeirah Lake Towers,Dubai Gate 1,46000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/1-bedroom-for-rent-in-dubaigate1-near-metr-2/
BEST DEAL 1 BHK IN JLT NEAR METRO ONLY 47K,JLT Jumeirah Lake Towers,Dubai Gate 1,47000,1 Bedrooms,1 Bathrooms,650,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/28/best-deal-1-bhk-in-jlt-near-metro-only-47k-2/
"High Floor 1 Bed in Dubai Gate 2, JLT| Good View, Great Price",JLT Jumeirah Lake Towers,Dubai Gate 2,48000,1 Bedrooms,1 Bathrooms,602,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/high-floor-studio-in-dubai-gate-2-jlt-good-2/
1 bed room apartment | close to metro| in JLT | Dubai Gate 1 for rent 48000=4 chqs,JLT Jumeirah Lake Towers,Dubai Gate 1,48000,1 Bedrooms,1 Bathrooms,600,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/1-bed-room-apartment-close-to-metro-in-jlt-2/
***Best  price studio for rent in JLT***,JLT Jumeirah Lake Towers,X1,49000,1 Bedrooms,1 Bathrooms,398,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/18/-best-price-studio-for-rent-in-jlt--2/
Attention Expats ? Many option One Location JLT,JLT Jumeirah Lake Towers,Lake Point,49999,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/attention-expats-1bedroom-apartment-for-re-2/
Fantastic 1 BR apartment in JLT AED 49999,JLT Jumeirah Lake Towers,Platinum JLT,49999,1 Bedrooms,2 Bathrooms,970,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/6/fantastic-1-br-apartment-in-jlt-just-aed-5-2/
